dictionary-compression-1.html,"Blocked storage",blocked-storage-1.html
-,"Postings file compression",postings-file-compression-1.html
postings-file-compression-1.html,"Variable byte codes",variable-byte-codes-1.html
postings-file-compression-1.html,"Gamma codes",gamma-codes-1.html
postings-file-compression-1.html,"References and further reading",references-and-further-reading-5.html
-,"Scoring, term weighting and the vector space model",scoring-term-weighting-and-the-vector-space-model-1.html
-,"Parametric and zone indexes",parametric-and-zone-indexes-1.html
parametric-and-zone-indexes-1.html,"Weighted zone scoring",weighted-zone-scoring-1.html
parametric-and-zone-indexes-1.html,"Learning weights",learning-weights-1.html
parametric-and-zone-indexes-1.html,"The optimal weight g",the-optimal-weight-g-1.html
-,"Term frequency and weighting",term-frequency-and-weighting-1.html
term-frequency-and-weighting-1.html,"Inverse document frequency",inverse-document-frequency-1.html
term-frequency-and-weighting-1.html,"Tf-idf weighting",tf-idf-weighting-1.html
-,"The vector space model for scoring",the-vector-space-model-for-scoring-1.html
the-vector-space-model-for-scoring-1.html,"Dot products",dot-products-1.html
the-vector-space-model-for-scoring-1.html,"Queries as vectors",queries-as-vectors-1.html
the-vector-space-model-for-scoring-1.html,"Computing vector scores",computing-vector-scores-1.html
-,"Variant tf-idf functions",variant-tf-idf-functions-1.html
variant-tf-idf-functions-1.html,"Sublinear tf scaling",sublinear-tf-scaling-1.html
variant-tf-idf-functions-1.html,"Maximum tf normalization",maximum-tf-normalization-1.html
variant-tf-idf-functions-1.html,"Document and query weighting schemes",document-and-query-weighting-schemes-1.html
variant-tf-idf-functions-1.html,"Pivoted normalized document length",pivoted-normalized-document-length-1.html
variant-tf-idf-functions-1.html,"References and further reading",references-and-further-reading-6.html
-,"Computing scores in a complete search system",computing-scores-in-a-complete-search-system-1.html
-,"Efficient scoring and ranking",efficient-scoring-and-ranking-1.html
efficient-scoring-and-ranking-1.html,"Inexact top K document retrieval",inexact-top-k-document-retrieval-1.html
efficient-scoring-and-ranking-1.html,"Index elimination",index-elimination-1.html
efficient-scoring-and-ranking-1.html,"Champion lists",champion-lists-1.html
efficient-scoring-and-ranking-1.html,"Static quality scores and ordering",static-quality-scores-and-ordering-1.html
efficient-scoring-and-ranking-1.html,"Impact ordering",impact-ordering-1.html
efficient-scoring-and-ranking-1.html,"Cluster pruning",cluster-pruning-1.html
-,"Components of an information retrieval system",components-of-an-information-retrieval-system-1.html
components-of-an-information-retrieval-system-1.html,"Tiered indexes",tiered-indexes-1.html
components-of-an-information-retrieval-system-1.html,"Query-term proximity",query-term-proximity-1.html
components-of-an-information-retrieval-system-1.html,"Designing parsing and scoring functions",designing-parsing-and-scoring-functions-1.html
components-of-an-information-retrieval-system-1.html,"Putting it all together",putting-it-all-together-1.html
-,"Vector space scoring and query operator interaction",vector-space-scoring-and-query-operator-interaction-1.html
vector-space-scoring-and-query-operator-interaction-1.html,"Boolean retrieval",boolean-retrieval-2.html
vector-space-scoring-and-query-operator-interaction-1.html,"Wildcard queries",wildcard-queries-2.html
vector-space-scoring-and-query-operator-interaction-1.html,"Phrase queries",phrase-queries-1.html
vector-space-scoring-and-query-operator-interaction-1.html,"References and further reading",references-and-further-reading-7.html
-,"Evaluation in information retrieval",evaluation-in-information-retrieval-1.html
evaluation-in-information-retrieval-1.html,"Information retrieval system evaluation",information-retrieval-system-evaluation-1.html
evaluation-in-information-retrieval-1.html,"Standard test collections",standard-test-collections-1.html
evaluation-in-information-retrieval-1.html,"Evaluation of unranked retrieval sets",evaluation-of-unranked-retrieval-sets-1.html
evaluation-in-information-retrieval-1.html,"Evaluation of ranked retrieval results",evaluation-of-ranked-retrieval-results-1.html
-,"Assessing relevance",assessing-relevance-1.html
assessing-relevance-1.html,"Critiques and justifications of the concept of relevance",critiques-and-justifications-of-the-concept-of-relevance-1.html
-,"A broader perspective: System quality and user
  utility",a-broader-perspective-system-quality-and-user-utility-1.html
a-broader-perspective-system-quality-and-user-utility-1.html,"System issues",system-issues-1.html
a-broader-perspective-system-quality-and-user-utility-1.html,"User utility",user-utility-1.html
a-broader-perspective-system-quality-and-user-utility-1.html,"Refining a deployed system",refining-a-deployed-system-1.html
a-broader-perspective-system-quality-and-user-utility-1.html,"Results snippets",results-snippets-1.html
a-broader-perspective-system-quality-and-user-utility-1.html,"References and further reading",references-and-further-reading-8.html
-,"Relevance feedback and query expansion",relevance-feedback-and-query-expansion-1.html
-,"Relevance feedback and pseudo relevance feedback",relevance-feedback-and-pseudo-relevance-feedback-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"The Rocchio algorithm for relevance feedback",the-rocchio-algorithm-for-relevance-feedback-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"Probabilistic relevance feedback",probabilistic-relevance-feedback-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"When does relevance feedback work?",when-does-relevance-feedback-work-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"Relevance feedback on the web",relevance-feedback-on-the-web-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"Evaluation of relevance feedback strategies",evaluation-of-relevance-feedback-strategies-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"Pseudo relevance feedback",pseudo-relevance-feedback-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,"Indirect relevance feedback",indirect-relevance-feedback-1.html
relevance-feedback-and-pseudo-relevance-feedback-1.html,Summary,summary-1.html
-,"Global methods for query reformulation",global-methods-for-query-reformulation-1.html
global-methods-for-query-reformulation-1.html,"Vocabulary tools for query reformulation",vocabulary-tools-for-query-reformulation-1.html
global-methods-for-query-reformulation-1.html,"Query expansion",query-expansion-1.html
global-methods-for-query-reformulation-1.html,"Automatic thesaurus generation",automatic-thesaurus-generation-1.html
global-methods-for-query-reformulation-1.html,"References and further reading",references-and-further-reading-9.html
-,"XML retrieval",xml-retrieval-1.html
xml-retrieval-1.html,"Basic XML concepts",basic-xml-concepts-1.html
xml-retrieval-1.html,"Challenges in XML retrieval",challenges-in-xml-retrieval-1.html
xml-retrieval-1.html,"A vector space model for XML retrieval",a-vector-space-model-for-xml-retrieval-1.html
